program,threads,time_seconds,speedup_vs_serial
sum_atomic,1,0.110244,0.223894
sum_atomic,2,0.308702,0.079957
sum_atomic,4,0.567773,0.043473
sum_atomic,8,0.867734,0.028445
sum_atomic,16,1.006513,0.024523
sum_critical,1,0.143229,0.172332
sum_critical,2,0.314423,0.078503
sum_critical,4,0.946820,0.026069
sum_critical,8,1.571558,0.015706
sum_critical,16,1.800052,0.013712
sum_race,1,0.024536,1.005991
sum_race,2,0.034562,0.714166
sum_race,4,0.026198,0.942171
sum_race,8,0.067407,0.366179
sum_race,16,0.080018,0.308468
sum_reduction,1,0.029753,0.829597
sum_reduction,2,0.034355,0.718469
sum_reduction,4,0.018354,1.344829
sum_reduction,8,0.006401,3.856116
sum_reduction,16,0.035245,0.700326
